token	설명	예시	필수여부	마스킹규칙
METHOD3_SELECTED	3번 방법 채택 여부. 보통 생략 방법이므로 공란	(공란)	선택	selected 또는 공란
METHOD3_NAME	3번 방법 <h3> 제목. 미사용 시 method-item 블록 전체 삭제	거래사례비교법 (교차 검토)	선택	—
METHOD3_REASON	3번 방법 채택/생략 사유	인근 유사 복합부동산 거래사례로 시산가액을 교차 검토하였습니다.	선택	—
METHOD4_SELECTED	4번 방법 채택 여부. 보통 공란	(공란)	선택	selected 또는 공란
METHOD4_NAME	4번 방법 <h3> 제목. 미사용 시 method-item 블록 전체 삭제	수익환원법 — 미적용	선택	—
METHOD4_REASON	4번 방법 생략 사유	표준적 임대료·환원이율 파악이 곤란하여 시산가액 산출이 적절하지 않으므로 생략하였습니다.	선택	—
COMP_SUMMARY	비교사례 요약 단락. 단가 레인지를 숫자로. 2~3문장	성내동 일대 거래사례 단가는 8,270,000~10,000,000원/㎡ 수준입니다. …	필수	—
COMP_TABLE1_TITLE	1번 표 <h3> 제목	감정평가전례	필수	—
COMP_TABLE1_HEAD	1번 표 <th> 묶음 HTML 한 줄. 동·층·호 열을 만들지 않는다	<th>기호</th><th>소재지</th><th>면적</th><th>기준시점</th><th>단가</th>	필수	「동」·「층」·「호」 열 금지
COMP_TABLE1_ROWS	1번 표 <tr> 묶음 HTML	<tr><td>①</td><td>성내동</td><td>168.3㎡</td><td>2025년</td><td class="td-right">8,270,000원/㎡</td></tr>	필수	소재지는 동 단위까지(지번·동 번호 삭제). 기준시점 연도만. 목적은 — 처리
COMP_TABLE2_TITLE	2번 표 <h3> 제목	거래사례 (국토교통부 실거래가 기준)	필수	—
COMP_TABLE2_HEAD	2번 표 <th> 묶음 HTML 한 줄	<th>기호</th><th>소재지</th><th>면적</th><th>거래시점</th><th>거래가액</th><th>단가</th><th>채택</th>	필수	「동」·「층」·「호」 열 금지
COMP_TABLE2_ROWS	2번 표 <tr> 묶음 HTML. 채택 행에 class="selected-row" + badge-sel	<tr class="selected-row"><td>㉮</td><td>성내동</td><td>84.97㎡</td><td>2025년</td><td class="td-right">1,450,000,000원</td><td class="td-right">9,870,000원/㎡</td><td><span class="badge-sel">채택</span></td></tr>	필수	소재지는 동 단위까지(지번·동 번호 삭제). 거래시점 연도만
CALC_SUMMARY	산정과정 요약 단락. 사정보정·시점수정률·산정단가를 숫자로. 2~3문장	거래사례 ㉮에 사정보정 1.000, 시점수정 1.01116을 적용하여 산정단가를 도출하였습니다. …	필수	시점수정 지수 적용 월 표기 금지(지수명과 최종 시점수정률만)
UNIT_PRICE_FORMULA	산정단가 산식 한 줄. 「비교사례단가 × 사정보정 × 시점수정 = 산정단가」 까지만 표시	비교사례단가 9,870,000원/㎡ × 사정보정 1.000 × 시점수정 1.01116 = <strong>산정단가 9,980,000원/㎡</strong>	필수	가치형성요인 비교치를 곱에 넣지 않는다. 요인비교치가 1.000 이 아니면 산식을 쓰지 말고 결과 단가만 제시
CALC_GROUP1_TITLE	1번 산정 흐름 <h3> 제목	LAND — 거래사례비교법	필수	—
CALC_GROUP1_STEPS	1번 산정 흐름 calc-step 묶음 HTML. 최대 4단계(비교사례단가 → 사정보정 → 시점수정 → 산정단가·시산가액)	<div class="calc-step">…</div>	필수	단지외부·단지내부·호별·기타요인 단계 금지. 지수 적용 월 금지
CALC_GROUP2_TITLE	2번 산정 흐름 <h3> 제목. 단일방법(집합건물 일괄평가 등)이면 블록 전체 삭제	BUILDING — 원가법 (잔가법)	선택	—
CALC_GROUP2_STEPS	2번 산정 흐름 calc-step 묶음 HTML	<div class="calc-step">…</div>	선택	—
RESTRICT_SUMMARY	공법상 제한 요약 단락. 1~2문장	대상토지는 제3종일반주거지역에 속합니다. …	필수	일반론 서술 금지
RESTRICT_ZONE	용도지역 값	도시지역 · 제3종일반주거지역	필수	—
RESTRICT_LABEL_2	제한 그리드 2번 라벨	지구단위계획구역	필수	—
RESTRICT_VAL_2	제한 그리드 2번 값	지구단위계획구역 (2014년 지정)	필수	—
RESTRICT_LABEL_3	제한 그리드 3번 라벨	교육환경 보호구역	필수	—
RESTRICT_VAL_3	제한 그리드 3번 값	교육환경보호구역 (상세내용 별도확인)	필수	—
RESTRICT_ETC	기타 제한 값	가축사육제한구역 · 대공방위협조구역 · 과밀억제권역	필수	—
RESTRICT_ALERT	제한 알림 박스 HTML. 해당 없으면 div 블록 전체 삭제	<strong>⚠ 토지거래계약 허가구역 지정</strong><br>…	선택	—
FAQ1_A_HTML	FAQ 1 답변 (본문 표시용, <strong>·<time> 허용). 태그 제거 시 FAQ1_A_TEXT 와 일치	기준시점 <time datetime="2025">2025년</time> 현재 …	필수	수수료 금액 금지
FAQ2_A_HTML	FAQ 2 답변 (본문 표시용)	토지는 <strong>공시지가기준법</strong> …	필수	—
FAQ3_A_HTML	FAQ 3 답변 (본문 표시용)	「상속세 및 증여세법 시행령」 제49조 …	필수	기간 기준 정확히. 소급감정 시사 문구 금지
FAQ4_A_HTML	FAQ 4 답변 (본문 표시용). 법인 정식명칭·주소·전화 포함	㈜감정평가법인 가치앤같이는 … <strong>(02) 572-1900</strong>	필수	수수료 금액 금지
INDEX_NAME	시점수정에 사용한 한국부동산원 지수명. 출처 목록에 삽입	강동구 상업용부동산 자본수익률	필수	실제 사용한 지수명만. 적용 월 금지
FIRM_EXPERIENCE	법인 소개 문단 꼬리. 본 사례 유형 관련 수행 경험 1문장	특히 서울 동남권 복합부동산의 상속·증여 감정평가 수행 경험이 축적되어 있습니다.	필수	건수·수수료 등 검증 불가 수치 금지
PURPOSE_SHORT	목적 두 글자. 법인 소개 문장에 사용	상속	필수	—
HUB_URL	허브(목록) 링크 URL 1개	/#cases	필수	—
HUB_LABEL	허브 링크 라벨	전체 감정평가 사례 목록 보기	필수	—
REL1_URL	형제 사례 1 URL. cases/ 내 실재 파일이어야 함	/cases/seongbuk-dongseondong-2025.html	필수	존재하지 않는 URL 금지
REL1_LABEL	형제 사례 1 라벨. 푸터에도 재사용	성북구 동선동 다가구주택 상속 감정평가	필수	—
REL2_URL	형제 사례 2 URL	/cases/gangnam-ilwon-woosungchapt-2025.html	필수	존재하지 않는 URL 금지
REL2_LABEL	형제 사례 2 라벨. 푸터에도 재사용	강남구 일원동 우성7차 감정평가	필수	—
REL3_URL	형제 사례 3 URL	/cases/dongjak-daebang-epyeonhansesang-sangsok-2026.html	필수	존재하지 않는 URL 금지
REL3_LABEL	형제 사례 3 라벨	동작구 대방동 이편한세상 상속 감정평가	필수	—
REL4_URL	형제 사례 4 URL. 3건만 넣을 경우 <li> 통째로 삭제	/cases/namyangju-byeollae-ipark-suite-2026.html	선택	존재하지 않는 URL 금지
REL4_LABEL	형제 사례 4 라벨	남양주 별내동 아이파크스위트 상가 감정평가	선택	—
MODIFIED_DATE_KR	푸터 「최종 업데이트(사이트 갱신일)」 한글 표기. 감정평가서 작성일과 반드시 다른 항목으로 표기	2026년 9월 16일	필수	MODIFIED_DATE 와 같은 날짜여야 함
